as_of_date,published_date,country,category,visa_status,pd_year,pd_month,count,suppressed,source_url
2024-02-22,2024-06-12,rest_of_world,EB1,available,2019,4,12,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2020,4,24,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2021,4,71,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2022,4,151,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2023,4,954,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,0,5,57,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2015,5,,true,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2016,5,,true,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2017,5,17,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2018,5,15,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2019,5,25,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2020,5,,true,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2021,5,51,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2022,5,168,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2023,5,1507,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,0,6,30,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2015,6,,true,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2016,6,,true,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2017,6,13,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2018,6,18,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2019,6,,true,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2020,6,27,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
